gene	Astrocytes	CThPN	DL CPN	Layer 4	NP	SCPN	UL CPN
Ehbp1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Nup98							
St3gal6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dlx2	1.0						
Tenm4	0.0			0.0		1.0	
H19		0.0	0.0	0.0	0.0	0.0	0.0
Ppp3r1	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Dusp2	0.0	0.0		1.0			
Zfp410							
Tmem56	1.0	0.0	0.0			0.0	
Pcnt							
Sstr1	0.0	0.0		1.0		1.0	1.0
Golga2							
Tmem164							
Topbp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mospd2							
Rims3	0.0	0.0		1.0			
Zfp524							
Car2	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Plekhf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cmip		1.0	1.0	1.0	1.0	1.0	1.0
Vstm5	0.0	0.0			0.0	0.0	
Crhr1	0.0		1.0	1.0		0.0	
2210408I21Rik							
Med21	1.0	1.0	1.0	1.0	1.0	1.0	1.0
B4galt6	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Gnptg							
N4bp1							
Fuom	1.0	0.0	0.0	0.0		0.0	0.0
Siah1a		1.0	1.0	1.0		1.0	1.0
Btbd17	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Sidt2							
Tmem41a							
Gprin1	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Dlgap3	0.0		1.0	1.0		1.0	1.0
Cdkn1c	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Slc25a22							
Fat3	0.0			1.0		1.0	
Gsn	1.0	0.0		1.0			
Sclt1							
Hras		1.0	1.0	1.0	1.0	1.0	1.0
Msi1	1.0		1.0	1.0		1.0	1.0
Rasgrf1	0.0		0.0	0.0	0.0		0.0
Slco5a1							
Rnf123							
Nln							
Gm29260	1.0	0.0	0.0	0.0	0.0	0.0	
Tctex1d2		1.0	1.0	1.0	1.0	1.0	1.0
Gdpd1	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Efna5							
Pten	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Jarid2							
Ikbip							
Arhgef2		1.0				1.0	
Tmem203							
Klc1	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Klhl13							
Tnpo2							
Cadm2	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Cers2	1.0	0.0		0.0	0.0		
Ccdc138							0.0
L3mbtl4	0.0	0.0	0.0		0.0	0.0	0.0
5031439G07Rik							
Tspyl3		1.0	1.0	1.0	1.0	1.0	1.0
Pex13	1.0	1.0	1.0		1.0	1.0	
Mpped1	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Flrt1	0.0	1.0				1.0	1.0
Kcnd2	0.0			1.0			
Nup37		0.0	0.0	0.0	0.0	0.0	0.0
Agrn							
Stmn3	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Sp2							
Hmgcll1							
4933407L21Rik		0.0	0.0	0.0	0.0	0.0	0.0
Qpctl							
Simc1							
Tex9							
Enpp4							
Nme6							
Hn1l	0.0	0.0	0.0	0.0	0.0		0.0
Gm26737		0.0	0.0	0.0			0.0
Prps2	1.0		1.0	1.0			
Heatr5a	1.0			0.0			0.0
Qtrtd1							
Cdc42ep2		1.0	1.0	1.0	1.0	1.0	
Alox5ap	0.0		0.0	0.0	0.0	0.0	0.0
Bphl							
Npr3	0.0	0.0	0.0	0.0	0.0		0.0
Pex5							
Gm14662	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cep85							
Necab1	0.0	1.0	1.0	1.0			
Lrfn5	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Pou2f1							
Glrb		1.0	1.0	1.0	1.0		1.0
Gsr	1.0			0.0	0.0		0.0
Kcnk1	1.0	1.0			1.0		
Tmem14a							
Mms22l							
Abi2		1.0	1.0	1.0	1.0	1.0	1.0
Tmem17							
Ccnd3	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Mkln1os	0.0	1.0				1.0	0.0
Tsc22d4	1.0		0.0	0.0	0.0		0.0
Ppm1l	0.0	1.0		1.0	1.0	1.0	1.0
Setx							
Chic2	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Sirt5							
Rcn3	1.0	0.0	0.0	0.0	0.0	0.0	
Hspa4l	1.0	0.0	0.0			0.0	0.0
Nceh1	0.0		0.0		0.0	0.0	0.0
Arntl							
Arhgap33	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Xpot							
Smpd2	1.0				0.0	0.0	
Mapk12		0.0	0.0	0.0	0.0	0.0	0.0
Alkbh2							
Gypc		0.0	0.0	0.0	0.0	0.0	0.0
Cnr1		1.0	1.0	1.0		1.0	1.0
Pvrl1		0.0	0.0	1.0	0.0	0.0	
Ptger3	0.0		0.0		0.0	0.0	0.0
Gm27217	0.0	0.0			0.0	0.0	
Xylt2							
Rbck1	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Gcnt2	0.0	0.0	0.0		0.0	0.0	0.0
Pgm1							
Mad2l1		0.0	0.0	0.0	0.0	0.0	0.0
Ap4m1							
Ppfia4	0.0	1.0	1.0	1.0			
Gnptab							
Syn2	0.0		1.0				
Cdc20		0.0	0.0	0.0	0.0	0.0	0.0
Tyw5							
Otub2							
Commd9	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Nol3	0.0	0.0	0.0	0.0	0.0		0.0
Zbtb25							
Kcnab1							
Nfya							
Sema6c	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Btbd9		1.0		1.0		1.0	1.0
Rhbdd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fam46a	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bcl2l12		0.0	0.0	0.0	0.0	0.0	0.0
Mre11a							
Rcl1							
Spock2		1.0	1.0	1.0	1.0	1.0	1.0
Slc1a3	1.0	0.0	0.0	0.0	0.0		0.0
Evl		1.0	1.0	1.0	1.0	1.0	1.0
Txndc11							
Aldh1b1	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Ddx25	0.0	1.0	1.0	1.0		1.0	1.0
Ripply2		1.0	1.0	1.0		1.0	
Nhlh2	0.0		0.0	0.0	0.0	0.0	0.0
Ints1							
Amigo2	0.0	0.0			0.0		0.0
Tsen15	1.0	0.0			0.0	0.0	
Trappc9							
Fbxl2	0.0	1.0	1.0	1.0		1.0	1.0
Lamb2	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Mxd4	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Rnft2							
Lzts1		1.0	1.0	1.0	1.0	1.0	1.0
Arpc1b							
Ddx51							
Xrcc4							
Pard3b		0.0	0.0	0.0	0.0	0.0	0.0
Sdc3	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Cdc23							
5730409E04Rik	0.0		1.0	1.0			
Tspan2		1.0					0.0
Podn	0.0		0.0	0.0	0.0	0.0	0.0
Pir		0.0	0.0	0.0	0.0	0.0	0.0
Pnp	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Rnf44							
Nhej1							
Atf7							
Ptpn5		1.0	1.0	1.0	1.0	1.0	1.0
Chd5	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Tspan4							
Yap1		0.0	0.0	0.0	0.0	0.0	0.0
Rnf2		1.0	1.0	1.0	1.0	1.0	1.0
Serpinf1		0.0	0.0	0.0	0.0	0.0	0.0
Nxph3	0.0	1.0	0.0	0.0			0.0
Tagln		0.0	0.0	0.0	0.0	0.0	0.0
AI849053							
Dmtn	0.0	1.0	1.0	1.0	1.0		
Cmtm4							
Nmb		0.0	0.0	0.0	0.0	0.0	0.0
Tmtc3							
Sox3		0.0	0.0	0.0	0.0	0.0	0.0
Rrp8							
Snapc4							
Ankrd9							
Samd10							
Ece2							
2610037D02Rik							
Trappc6a							
Palmd	0.0	0.0		0.0	0.0		
Dnttip2		0.0	0.0	0.0	0.0		0.0
Mafb							
Magel2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Smtn	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dcaf12l1	0.0		1.0	1.0			
Mphosph10							
Syt9	0.0					1.0	0.0
Kcnq4	0.0						
A330008L17Rik	0.0	0.0	0.0			1.0	
AA387200	0.0	0.0		0.0			
Ubp1							
0610009L18Rik							
Snph	0.0				0.0		
Zfand1							
Scarb2							
Kcna2	1.0	0.0	0.0				
Zfp518b							
Ccser2	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Cdkl2	0.0	1.0	1.0	1.0	1.0	1.0	
Ssh2							
Mesdc1							
Ppp6r3							
3110099E03Rik		0.0	0.0	0.0	0.0	0.0	0.0
Ubiad1	0.0		0.0	0.0	0.0	0.0	0.0
Usp25		0.0	0.0	0.0	0.0	0.0	0.0
Pqlc1							
Acads	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Eif4e3							
Lgals8							
Vegfa		0.0			0.0	0.0	0.0
Usp11							
Ybx3							
Acsbg1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Cmc1							
Mpst	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Sh3bgrl2							
Kdm2b		1.0	1.0	1.0	1.0	1.0	1.0
Slc41a2	0.0	0.0	0.0		0.0	0.0	
Gk		0.0		1.0			
Coro7							
Nelfa							
Ccdc166							
Snx13							
Sh3kbp1							
Hsph1			1.0	1.0	1.0	1.0	1.0
Macf1	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Ugp2	1.0	1.0	1.0	1.0	1.0	1.0	
Cntln							
C030034I22Rik							
Tmc7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fiz1	1.0		1.0		1.0	1.0	
Dnal4	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Hist2h2ac	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fam212b	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Trim12a		0.0	0.0	0.0	0.0	0.0	0.0
Afap1l1							
Gm42418							
G2e3							
Gucy1a3			1.0	1.0			1.0
2810402E24Rik							
Fndc3b		0.0	0.0	0.0	0.0	0.0	0.0
Kcnmb2	0.0	0.0	1.0	1.0			
Mbp	0.0	0.0			0.0		
Dtd2							
Gramd3	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2900052N01Rik		0.0	0.0	0.0	0.0	0.0	0.0
Cdk12	0.0	0.0	0.0	0.0	0.0		0.0
Myo18a							
Ezh1							
Intu	1.0	0.0					0.0
Chaf1b							
Mettl15							
Pigv							
Mnd1		0.0	0.0	0.0		0.0	0.0
Kcnk10							
Gucy1b3			1.0	1.0	1.0	1.0	1.0
Klhl18							
Echs1	1.0	1.0	1.0	1.0		1.0	1.0
Apool							
Dip2c							
Lmcd1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Mmrn2		0.0	0.0	0.0	0.0	0.0	0.0
Rpf1		0.0	0.0	0.0	0.0		0.0
Srbd1							
Tspyl2							
Cnih4	1.0	0.0	0.0	0.0	0.0		0.0
Pgpep1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Ska2							
Slc31a1							
Zfp566							
Nthl1	0.0			0.0	0.0	0.0	
Rpp21		1.0	1.0	1.0	1.0	1.0	1.0
Rps6ka1							
Lrp11		1.0	1.0	1.0	1.0	1.0	1.0
Zfp217	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Wrap53							
Ptges2							
Cep41							
Adnp2							
Mrps6	1.0	1.0	1.0	1.0	1.0	1.0	
3110009E18Rik							
Acaca	0.0		1.0	1.0	1.0		1.0
2310011J03Rik	1.0		0.0		0.0		
Otud1	1.0					0.0	
Brd9		1.0	1.0	1.0	1.0	1.0	1.0
Dnajc4							
Hipk3							
Ttc9c							
Gm17484	0.0				0.0		
Dnal1							
Adap1	0.0		1.0	1.0		1.0	
Wdr70							
Gemin5							
Clcn4	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Rap2b	1.0			1.0			1.0
Nudt22							
Utp11l	1.0	1.0	1.0	1.0		1.0	1.0
Kcnj2	0.0	0.0	0.0		0.0	0.0	0.0
Aig1		1.0	1.0	1.0	1.0	1.0	
Trim47	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Vasn		0.0	0.0	0.0	0.0	0.0	0.0
Hk2		0.0	0.0	0.0	0.0		0.0
6720427I07Rik							
Sft2d1	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Npas2	0.0	0.0			0.0	0.0	
Zfp189							
Ltbp4		0.0		0.0		0.0	0.0
Mrgpre	0.0				0.0		
Slc8a2							
Tmem219							
Sfrp2				0.0	1.0	0.0	0.0
Hvcn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kifc2	0.0		1.0	1.0	1.0		
Abca8a	0.0		0.0	0.0	0.0	0.0	0.0
Ap2b1		1.0	1.0	1.0	1.0	1.0	1.0
Pla2g3		0.0	0.0	0.0	0.0	0.0	0.0
Aptx	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Mettl21a							
Dab1	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Pcdhb17	0.0				0.0		
Slc39a3							
Pxk							
Ppfia1							
Rxfp1	0.0	0.0		0.0	0.0	0.0	0.0
Pdgfa	0.0	0.0	1.0	1.0	0.0		1.0
Erdr1							
Insm1		0.0	0.0	0.0	0.0		
Dchs1							
Hmbs	1.0	0.0	0.0		0.0	0.0	0.0
Gm16596	0.0	0.0	0.0	0.0	0.0		0.0
Tnfaip8l1							
Pabpc4							
Dhx37							
Fgfrl1		0.0	0.0	0.0	0.0	0.0	0.0
Ncoa7							
Kctd1							
Tspan15	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Nkain4	1.0	0.0	0.0	0.0		0.0	
Aacs	1.0		1.0	1.0		1.0	
Smim14	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Tmem14c	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Msx3	0.0	0.0		1.0	0.0	0.0	
A430027H14Rik							
Jkamp	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Lurap1	0.0	0.0			0.0	0.0	0.0
Rprd1b							
Dpp9							
Gm3488	0.0	1.0	1.0	1.0		1.0	1.0
Hist1h4i		0.0	0.0	0.0	0.0	0.0	0.0
Map1s							
Mmp24	0.0	1.0	1.0	1.0		1.0	1.0
B230307C23Rik	0.0	0.0	0.0		0.0	0.0	0.0
Cacnb4							
Maz		1.0	1.0	1.0	1.0	1.0	1.0
Chst1		1.0	1.0	1.0	1.0	1.0	1.0
Slc37a1	0.0		0.0		0.0	0.0	0.0
Pip4k2a							
Slc22a17	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Htra1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Mcph1							
Anxa6	1.0				0.0		
Rnf126		1.0	1.0	1.0	1.0	1.0	1.0
Leprotl1	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Ranbp6							
Zfp804a	0.0				1.0		
Atp6ap2	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Syn1		1.0	1.0	1.0	1.0	1.0	1.0
Ttyh3	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Napb	0.0	1.0	1.0	1.0	1.0	1.0	1.0
F8a							
Smpd1							
Tbc1d25							
Ptx3	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm13830							
Etv1			0.0	0.0	1.0		0.0
Ulk1							
Slc12a4	1.0	0.0	0.0		0.0	0.0	
Lpcat3							
Borcs8		1.0	1.0	1.0	1.0	1.0	1.0
Metrnl	1.0	0.0			0.0	0.0	
Elk4							
Nkd1							
Dtnbp1	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Gm12258							
Sesn3							
Mpp3							
Ube2g2			1.0	1.0		1.0	
Nedd1		0.0	0.0	0.0	0.0	0.0	0.0
Cln6		0.0	0.0	0.0	0.0	0.0	0.0
Sdc4		0.0	0.0	0.0	0.0	0.0	0.0
Msmo1	1.0	1.0	1.0	1.0		1.0	1.0
Gpr158	0.0	0.0	0.0		0.0	0.0	0.0
Gli3		0.0	0.0	0.0	0.0	0.0	0.0
Sptbn1	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9330159F19Rik		1.0	1.0	1.0	1.0	1.0	1.0
Cyfip1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
E530001K10Rik							
Sbds	1.0				0.0		
Bcl2l2							
Tmem35		1.0	1.0	1.0	1.0	1.0	1.0
Cdr2	0.0			0.0		1.0	0.0
Cplx2		1.0	1.0	1.0	1.0	1.0	1.0
Fgf11		1.0	1.0	1.0		1.0	
Ppp2r3d							
Cacna1b	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Ammecr1l							
Tacc2	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Col1a2		0.0	0.0	0.0	0.0	0.0	0.0
Sema7a	0.0			1.0			
Coq10a							
Bach1							
Lrrn1		0.0	0.0	0.0	0.0	0.0	0.0
Fam124a		1.0	1.0	1.0	1.0	1.0	1.0
Pms2							
Elp6							
Csnk2a2							
Plpp6							
Smpd4							
Zfp746							
Sncaip							
Ndrg1	0.0		1.0	1.0	1.0	1.0	1.0
Nup43							
Rnf169							
Utp20							
Alpl		0.0	0.0	0.0	0.0	0.0	0.0
Pdzph1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Zfp827							
Eif2s3y							
Ints10							
Col22a1		0.0	0.0	0.0	0.0	0.0	0.0
Nanos1							
Zscan2							
Slc2a13		0.0		1.0			0.0
Jakmip3	0.0	1.0		1.0			
Qsox2							
Arhgap15	0.0	0.0	0.0		0.0	0.0	0.0
2900026A02Rik				1.0			0.0
Amd1			1.0	1.0			1.0
Crlf1			1.0	1.0			1.0
Fads3		1.0	1.0	1.0		1.0	
Cln3							
Jag1		0.0	0.0	0.0	0.0	0.0	0.0
Stk17b		0.0	0.0	0.0	0.0	0.0	0.0
Mtus2							
Ccdc109b	0.0		1.0			1.0	0.0
Cyp51	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Prokr2	0.0	0.0	1.0	1.0			
Nfic							
Ankrd10		1.0	1.0	1.0	1.0	1.0	1.0
Exoc2							
Xrcc6							
Tmem185b							
Mzt2							
Swt1							
Zfp691	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tmem209							
Nudt1							
Kcnc4	0.0		0.0	0.0	0.0	0.0	0.0
Cacng5		0.0	0.0	0.0	0.0	0.0	0.0
Ccdc157	1.0	0.0		0.0			0.0
Tjp1							
Paics	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Dusp18							
Pnpla6							
Gatsl3		0.0	0.0	0.0	0.0	0.0	0.0
Disp2	0.0	1.0	1.0	1.0		1.0	1.0
Gda	0.0		1.0	1.0		1.0	1.0
Armcx3	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Pcbp3							
Nuak1		1.0		1.0	1.0	1.0	1.0
Mrps25	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Atp6v0d1	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Vamp4	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Tmod2	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Nup205							
Phf2							
Ccdc14	0.0	0.0	0.0	0.0		0.0	0.0
Caskin1	1.0	1.0	1.0	1.0		1.0	1.0
