gene	Apical progenitors	Astrocytes	CThPN	DL CPN	Immature neurons	Intermediate progenitors	Layer 4	Migrating neurons	NP	SCPN	UL CPN
Ptprj	0.40669291684457876		0.0118531043416783		0.24612725267739233	0.551233205999015	0.8984504264883133	0.29587720379212523			
Rab40c											
Sirt2		1.0	1.0	1.0	1.0	0.9999999999921071	1.0	1.0	0.999999996660999	1.0	1.0
Top3a		0.889560020562638	0.9990457634126088	0.9795801677050329	0.9604275405903755	0.902904717663467	0.9956650965889531	0.9999829986884416	0.45285691205440726	0.9577425462636607	0.9999976090888304
Tmem94											
Msl3											
Gm7467	0.9783002713047425	0.5067848798694241	0.5047716460257035	0.18749450905205012	0.5662525169021202	0.9853520110434574		0.9868748324350328	1.0	1.0	0.7642251158468475
Gsx2	0.9466718151018091		0.9057542486904736	0.8663164612750471	0.8527333071882374	0.9161743120310112	0.9161048676669648	0.9543447271274318	0.1111346952965312	0.8661878718767468	0.9610137042452666
Sirt4											
Hs3st1	0.9999999947699676					1.0		1.0	0.8880125379138417		
Lrtm2	0.9564378896467756		0.7308244885301765	0.7079975029285288	0.6177626878639031	0.9317018876670999	0.5920068322511826	0.9483542941295288	1.0	0.5065137070320536	0.8288819559507185
Ric8	0.999973028716842		0.995758665697783	0.9999999997495643	0.9999996537728747	0.999985358697211	1.0		0.9770463157611949	0.9999999999999999	0.9999651728747427
Epb41l4a	0.9993570341566115		0.99955180430098	0.9966346398484578	0.7053402611666668	0.9995640922446698	0.9994767330644477	0.9985070440961444	0.7282479185208881	0.997224339931205	0.9999171437466702
Bok		0.9999999999999254	0.9999999999935072	1.0	1.0	0.9994942485434274	1.0		0.9999999963292031	1.0	1.0
Smad4											
Adar											
Lmln		0.4565437233731757	0.21274099937885993	0.3327362117827777	0.13934350369350057	0.8911255916581273	0.31580766066249355	0.9599093065522277	1.0	1.0	0.7202447032401122
Rai2	0.9555228039253948	0.7186672680999365	0.012832443256344583		0.21669824767703316			0.7863589616357356			
Pak3		1.0	0.9999999999325291	1.0	1.0	1.0	1.0		1.0	1.0	1.0
B4galt4											
Arf6	0.9999999999999949		0.9999957367829384	0.770955580525497				0.9968313624358608	0.8623103795758585	0.7783513099330863	0.7246713965386187
Uchl5	0.9999999999994401				0.7229158574729229	0.14541694124019766	0.9710009394773541				
Pou3f3	1.0	1.0	0.9999999934150667	0.9999999999999698		1.0	1.0	1.0	1.0	1.0	1.0
Slc7a2	0.9999999745863736	0.9646816223627203	0.9999999728800907	0.9999981102777651	0.9999992599420524	0.9999999757851183	0.9999999503824105	0.9999999995116367	0.9646816223627203	0.9999966809552143	0.9999999997359085
Wnt8b	0.976138656828214	0.9999999999638884	0.9999999999999992	0.9999999999890259	0.9999999998557482	0.9999999999999999	1.0	1.0	0.976138656828214	0.9999999999759438	1.0
Vps13b											
Celrr	0.9993590506077479		0.9961041367114655	0.9909620554581325	0.9902970018375491	0.9986783725859599	0.9975789599201637	0.9992950344018119	0.5390075495767704	0.9912379458647306	0.99947208586714
Ptbp3											
Rorc		0.38698275976714314	0.7458939565294491	0.6088567531654456	0.5452385277208904	1.0	0.8067807243122952	0.5180272123127705	1.0	0.6225340398229275	0.9553002118140439
Gm8281	0.8729599652043492	0.8760398680034159	0.22014334947725245	0.9815030370646401		0.8826321381501178	0.9998878834616576	0.846161103087311		0.9779306167812314	0.8287539092206189
Fam109a											
Trappc2l		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Atr											
Cyfip2	0.999999999999941	0.9999999816206103	0.9999975214771433	1.0	0.9999999999999734		1.0		0.9999270990058474	1.0	1.0
Grk6											
Zmat1											
Zc3hav1l											
Crat											
Rbl1	0.9993048519710642		0.9805371277093108	0.9728891026460952	0.9547425510887865		0.9906072534987488	0.9854306517330677	0.37672274829788677	0.9501768551642871	0.9971618609092715
Pfkm	0.9180383643522216	0.9999971571202032	1.0	1.0	1.0	0.9748933195470959	1.0		0.9984338326317114	1.0	1.0
Chchd6	1.0	0.9999999025507779	1.0	1.0	1.0	0.9999999999999997	1.0		1.0	1.0	1.0
Ccdc120											
Dync2li1											
4430402I18Rik	0.9999996270955626	0.5622498061000543	1.0	0.9999999999999755	0.9999999989054958		1.0		0.9964549751785008	1.0	1.0
A930012L18Rik	0.986862431958938	0.6464176052502457	0.6102650458006618	1.0	0.7766979551306291	0.9698420996711922		0.9792679013986443	1.0	0.6667859175217895	0.9169437442400672
Daam2	0.9999999999547602	0.9817897764956627	0.9999999991187732	0.9999999550500088	0.9999999464776297	0.9999999999730192	0.9999999997258177	0.9999999999990489	0.9817897764956627	0.9999999762624021	0.9999999999980291
Stxbp2											
Ptdss1											
Lrrtm4	0.9999999982431808	0.9993868751876609	0.9999999033099635	0.9532992371000092		0.9999917657610535	0.9984062645110029		0.3601344864867062	0.9999939470811664	0.999992442294869
Mllt10	0.9999999999991144					0.9999912341765207		0.039737782515592346	0.36232125130455495		
Ddx39	1.0	0.9999899639746742		0.28332960164677423	0.9999999957051439	0.9999999999999999	0.9999186072655563			0.9999999960616802	
Hs2st1	0.9999993730744391	0.49474069012706245	0.9695066809644763	0.988912953282591	0.9090182123466454	0.4852963300494485	0.4804447037879963	0.9932853594052607		1.0	0.9925268520596271
Sept10	0.999999249792825	0.9997726524450781	0.9999999999842192	0.999999993936952	0.9999975760006912	0.9788415456581484	0.9999999999999554	0.9999999999993662	0.9788415456581484	0.9999998618155965	1.0
Rnf115	0.9999999999999427	0.9999996987328232		0.6927971697107516		0.9999999750825146	0.9781033129213532	0.44515006525999334			
Spata6			0.9999605604454744	0.9997706233966039	0.9994595040788627	0.9988133855459126	0.9999662282391825	0.9999974597809594	0.7366437375167225	0.9997181987925127	0.9999978086899931
Pcyt2		1.0	0.9999998969964117	1.0	0.999998808953158	0.42165463769987965	1.0		0.8026891932090519	0.9999999999999968	1.0
Csf1	0.9998811187324093		0.9999853215670097	0.9998492654853847	0.9996047693484765	0.9999738149205532	0.9999915029063731	0.9998827648000393	0.8426806443843059	0.9998395513630688	0.999999410785728
Kidins220	0.9999998885691014		1.0	1.0	0.9999999999999998		1.0		0.9999999996307813	1.0	1.0
Trp53inp2	0.9999618634855157			0.9999997680404281	0.9999999664750018	0.8373551368200263	1.0	0.9999969400186504	0.5111978211248434	0.9999999999995071	0.9999999999977657
Shd	0.9999999476371018			1.0			1.0	0.6193242096875236	0.7641718415267956		0.9999999999999997
Dnajc5		0.9999999463289488	1.0	1.0	1.0	0.9999073289289379	1.0	1.0	1.0	1.0	1.0
Chst7	0.9999260014914777		0.9997131502585598	0.998409192503584	0.9987068936407343	0.999946073738588	0.9997085878178156	0.9999848230172952	0.6538517122190118	0.9967600443781378	0.9999928431800171
Brox	0.9999999998916731		0.9999999999999994	0.9999999980428556	0.9999999856066568		1.0	0.9895927490171721	0.9999965580739599	1.0	1.0
Itga2b	0.9783949238570095	0.3093424086115586	0.029536947635895983		0.25269194726640387	0.9624456818435103		0.9283088932489684	1.0	1.0	
Tm7sf2											
Coro1a	0.9999999998881648	0.9999999998101746	1.0	1.0	1.0	0.9999999998684902	1.0		0.9999150122898985	1.0	1.0
Pdcd4	1.0	0.9976896805619778	0.7917666723758463			0.9999999994696818		0.6481839912032634		0.9657019418367967	
Gstk1		0.9732763518970423	0.9445693802371473	0.9101529236421289		0.8712060685331234	0.9709514754796186	0.9287082748404576	0.1314265129174318	0.8052223925373657	0.9926954271951837
Lrrc3b	0.007000594087476553	0.9670251076398194	0.8444166835631035		0.7992219450731161	0.9954690834895914	0.970494728856505	0.996427193010744			0.900245635720204
Msrb1	0.6126853212758769		0.9729567833107589	0.9736549036225612	0.997686826796086	0.8090587589986106	0.9999961735088206			0.999999750125305	
Hectd3											
Gsg1l	0.9994080587163847	0.9964670637734582	0.9999999045710132	0.9739188983029455		0.9992536825551089	0.99668460077187	0.9985471040842465	0.7423246111542607		0.9959923373778349
Tmem55a	0.9999867174732664	0.9999705549567152	0.9118463557472348					0.9988025863151848		0.4334931809203112	
Alg1											
Blvra											
Rdh11											
Xpr1	1.0	0.9940445913098166	1.0	0.9997503293383964	0.9999563172557254	0.9999999976686205			1.0	1.0	0.9999999989042759
Tmem150c	0.9999999988128121	0.7737112357835048		0.9999999971832672	0.9957433974572546	0.9999023954754747	1.0		0.9966928463784086	0.9998893688817967	1.0
Adcy2	0.9685350707023924	0.5371998904866859			0.44359922039980326	0.962041640855425		0.9437526409454551		0.6796110926432435	
Sorbs3			0.969363576367451	0.9191023145443218	0.8532668304507492	0.7044841800218158	0.9671927367480601	0.9980538485504538	0.0956031201726637	0.8955643180932858	0.9984405240138005
Bub1	0.9999999999999928		0.9727490517253442	0.945658985767522	0.8788304438566281	0.999973963254779	0.9817155153085678	0.9523801050764379	0.34925802953244456	0.9408045287309279	0.9937200561586161
Mcc		0.8087730159265805	0.300700726140418	0.4579109497216264	0.5507038708309776	0.7174801241946007	0.08781036053189128	0.9593943144395191		0.5695387689961183	0.933453981230211
Acvr2b	1.0	0.9998809987458385	0.9991395691500699	0.9988502779193053	0.9999936559640296	0.9999999999999981	0.9999994678713747	0.9999889981705703	0.7248576814988932		0.9999999943068469
Rnf8											
Figf	1.0	0.9999999999999739	0.9999999999998198	0.9977691015079135	0.9999999999999749	1.0	1.0	1.0	0.9977691015079135	0.9999999999972068	1.0
Sfxn5		1.0	0.9961908198007112	0.9990046842398642	0.935116098350485			0.9986718721921827	0.9014183535747292	0.9470079953532488	0.9682565799094894
Dlgap2	0.9640150783667999	0.8025803346542327	0.31813463603748005	1.0	0.5160548958694471	0.9610004839384259		0.9649327196631338	1.0	1.0	0.8537271315973505
Noct											
Rasgef1b	0.9919243799004084			0.9390128636092351		1.0	0.9901140539456046	1.0	0.16456991039300362		0.9991657766158508
Lipe											
Akr1b8		0.7153575237022431	0.9443681855365352	0.7841617625596506	0.312659437052611		0.8861987795309423	0.9390899149506937	0.030765540619763554	0.829146910398479	0.9837359355278819
Cfap36		1.0	1.0	1.0	1.0		1.0		0.9999999750825146	1.0	1.0
2500002B13Rik		0.6144861625469815	0.9997812238687195	0.9802179139651044	0.9865945888924594	0.9569647195995211	0.9992222959490951	0.9999947649971411	0.34151424967345745	0.9697654791565744	0.9999996798332205
Sptbn4	0.623422005655362	0.450346922939994		0.3711426535387812		0.5890788601026111	0.9386498377462905	0.4536680523951758		0.5348307993933892	0.4149151645824186
Cbr3	1.0	0.999961250783921	1.0	1.0	1.0	1.0	1.0	1.0	0.999961250783921	1.0	1.0
Postn	0.9716433704986054	0.8501215660034067	0.8858105218805967	0.747562009321105	0.7786102252086821	0.9495113649617029	0.83057944069307	0.9613472879633563	1.0		0.9410779441702495
Chac2											
Tmem8b											
Slc7a14	0.20324422545890164	0.09402283232881281			0.5112584852135049	0.143875472644186	0.07651548696310329	0.6071697235070199			
Slc6a6	0.999944104396165	0.9999999999957278	1.0	1.0	1.0		1.0		0.9996341655987677	1.0	1.0
Hunk											
Fbxo44											
Wdtc1											
Plcxd3	0.9815327023134075	0.828920810156137		0.9773246384613552		0.21750965994539773			0.5300090160715272		
Slc35b2											
Spats2											
Cog1											
Ctsd	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Mpv17l2											
Cldn9		0.6993314453142179	0.8589228301489823	0.7510515426828233	0.7042142688859033	0.887314447374947	0.8948896438710392	0.9784326141013684	1.0	0.7455453431676962	0.985359241015069
Cbarp	0.9999109735202457		0.5309994368434993	1.0		0.9999810798026378	1.0		0.5115796444211389	0.9999999999999507	1.0
Ehbp1	1.0	0.9999951883027657	1.0	1.0	1.0	0.9999999999999998	1.0	1.0	0.9999951883027657	1.0	1.0
Nup98											
St3gal6		0.21011424011984625	0.6534929644585218	0.9124897922319625	0.8765525640776569	0.9714792883746536	0.9472077548015079	0.999420112007811	1.0	0.7943668060430448	0.9983371207492945
Dlx2	0.1072187300848807	0.8294390808476323			0.27025918775511637	0.20697242668764548		0.0812597806096339			
Tenm4		0.9991860219467138			0.9999923802552038		0.8660757907766972	1.0		0.9999970086265167	
H19			0.9986732926715739	0.9901344420019318	0.9817195210455598	0.9376515249706134	0.9988613552551512	0.9999941465526395	0.41612345787062843	0.9862820030301721	0.9999990587004064
Ppp3r1		0.7652795729365477	1.0	1.0	0.9999999999999999		1.0		0.9999999999999997	1.0	1.0
Dusp2	0.981347882788227	0.7607485078027058	0.2061695059988331			0.9705584784629425	0.4933614211532704	0.9627053298046037			
Zfp410											
Tmem56	0.9421262976601914	0.5658557126581798	0.5245944896406435	0.22590631288329754	0.6435212949924198	0.9813165137225955		0.994312389583882		0.2191903950427222	
Pcnt											
Sstr1	0.13877018505559324	0.7745817762582526	0.8872356821394115		0.7091125235021367	0.09026981473254492	0.09331053899179254	0.9551734325967214		0.9610115437454163	0.9885869567275415
Golga2											
Tmem164											
Topbp1	1.0	0.9999999999774579	1.0	1.0	0.9999999999999998		1.0	1.0	0.9996520599019406	0.999999999993875	1.0
Mospd2											
Rims3	0.9921009530610079	0.9502117794517937	0.9478596486729298		0.4437394025748038	0.9992722656719535	0.6873280089432066	0.9998019321804641			
Zfp524											
Car2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Plekhf1		1.0	0.8589013006684704	0.7596213425593854	0.7141720424654777	0.6435045923425282	0.9003045090477692	0.9705225292482438	1.0	0.7540682892816679	0.9867201235080709
Cmip	0.9999679826021401		1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0
Vstm5	0.969599502164988	0.4891427147322279	0.09025549015961165		0.09513934767194421	0.9146942412919329		0.9366021384301106	1.0	0.3054874132892218	
Crhr1	0.9740289328279731	0.6158162154811286		0.57312000225867	0.7867496995626229	0.9357984306570156	0.9931384914580274	0.9373877632562608		0.9319676382162222	
2210408I21Rik											
Med21	1.0	1.0	1.0	1.0	0.9999999999507923	1.0	1.0		0.9986619120912701	1.0	1.0
B4galt6	0.9990355358870453	0.9988411701262648	0.9999696754649752	0.9999999963277099		0.9999464362415065	1.0	0.9995979071991994	0.20525056510287565	0.9999999690458508	0.9944430077996074
Gnptg											
N4bp1											
Fuom	0.9368506571568475	0.7254703597107768	0.9994452455340497	0.9981449124528899	0.8288812782470848		0.9929447634392151	0.9999665707816134		0.8940361438331096	0.9999996304531563
Siah1a	0.9988129053887207		0.8169162599998115	0.7357425355210279	0.9999999966895594	0.9999999864974518	0.7387189079342059	0.9999998487939664		0.9999999999830704	0.7532598364031026
Btbd17		1.0	0.9630951468408453	0.9312405487052207		1.0	0.9896361987828107		0.3056191906307427	0.9168887927183682	0.9933408215756312
Sidt2											
Tmem41a											
Gprin1	0.9999999708921099	0.8837314824067509	1.0	1.0	1.0		1.0		0.9999999976522556	1.0	1.0
Dlgap3	0.7823556419315791	0.47504757644116047		0.9153960505990189		0.6224522624410411	0.26506090281196526	0.5337163044959453		0.5296697963049092	0.2933350949346586
Cdkn1c	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Slc25a22											
Fat3		0.9907054996615485				0.992038638326704	0.9999999999998002			0.9999965789836305	
Gsn	0.4277403757272412	0.8983529120726659	0.7055682114472759		0.38658060230483027	0.37106262558283376	0.05151659804297326	0.328351143627853			
Sclt1											
Hras	1.0		1.0	0.9999999999255881	1.0		1.0	0.5026455289059393	0.9326059590909367	1.0	1.0
Msi1	1.0	0.8861125568979227		0.6154040975998323		0.9999999999999998	0.8086014838723435	0.7340471350593085		0.9970357917393052	0.6959338103933499
Rasgrf1	0.9999995030096804	0.9988889172352311		0.996997786513059	0.9645272388063418	0.9999933645672642	0.9998930260335323	0.9999930697015124	0.7129046547408802		0.9999955173981536
Slco5a1											
Rnf123											
Nln											
Gm29260	0.9987750894444222	0.9999998636061237	0.9763202756002106	0.8660802873378786	0.6822616253608051	0.9999795749175976	0.1741175802107514		0.005199601409705656	0.7203919587664303	
Tctex1d2	0.9978793989451776		0.8459056836649295	0.9804992457168668			0.999999513093098	0.999966706655719	0.9495204041640779	0.9999999999756026	0.5730015744888501
Gdpd1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Efna5											
Pten		0.9998054425689155	0.9998339610426717	0.998353471245475			0.9999999999992251		0.9952322388940188	0.9999999999995222	0.8115780245182838
Jarid2											
Ikbip											
Arhgef2	0.9706272937324846		0.18309082828879797		0.9080592621487918	0.9999993207114413		0.9863688841360452		0.9848120565171765	
Tmem203											
Klc1		1.0	1.0	1.0	1.0	0.3412047371595447	1.0	1.0	1.0	1.0	1.0
Klhl13											
Tnpo2											
Cadm2	0.3571442309422448	0.9999999999258948	1.0	1.0		0.9968723330794602	1.0		0.9999999999999344	0.9999999999640328	1.0
Cers2	0.9995252276036038	0.9999988065802531	0.5367049525617593		0.34992861941088593		0.11847249089312861		0.8661881192104506		
Ccdc138	0.1515439248454259							0.2031265557026748			0.25037368281204964
L3mbtl4	0.9552045962666341	0.747832701716459	0.7642442154000437	1.0	0.5397985274998351	0.9090726075530595		0.9313066920220611	1.0	0.12225176354167877	0.7728020657563676
5031439G07Rik											
Tspyl3	0.6625622316039916		0.9781596796110468	0.9989412406454143	0.9654508216096982	0.37935543229431135	0.9999993100750052		0.9084144967128307	0.9965760964324017	0.9999828009663608
Pex13	1.0	1.0	0.38392544695536646	0.9627767681222228	0.15905838889532098	0.9999999999999923		0.7537948358259582	1.0	0.8560933002842933	
Mpped1	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0
Flrt1	0.2640255281090862	0.5014945781167404	0.9929056427909116		0.8956152966727575	0.4393600243414243		0.9430771255362961		0.9136514458687357	0.9987964963912183
Kcnd2	0.9346569293167158	0.07654148727884669			0.596239801078269	0.9813625865144152	0.9641396714209527	0.90669835219364			
Nup37	1.0		0.9999947962954969	0.9957518866221527	0.9688590300064588	0.9999999904697255	0.9997633863842884	0.9952417697330904	0.832026775217696	0.9862904848490844	0.9999922264831173
Agrn											
Stmn3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Sp2											
Hmgcll1											
4933407L21Rik	0.9878642651330816		0.9331301598510839	0.875203552159645	0.8109882310518853	0.9912398013448823	0.9721661097640367	0.9949973508835606	0.2653015585287719	0.8835944740053268	0.9931671597629258
Qpctl											
Simc1											
Tex9											
Enpp4											
Nme6											
Hn1l	1.0	0.9294713582647128	0.9999999999541469	0.9571022217824336		0.9999999209444074	0.9749474823252675	0.9999999999999708	0.6174669201710266		0.9999999993627066
Gm26737	0.10549682073330324		0.0807863154886338	0.14122544458638764	0.9733236986235374	0.9877730761734412	0.9922085701961365	0.25334924588043606			0.9998979422732153
Prps2	0.9746138802260835	0.7335332700320047		0.5093559924439806			0.9393933209211112	0.13387038465666956			
Heatr5a	0.25949085215609713	0.12248563235275278					0.16580741322495074	0.11411533365722093			0.1270711841640484
Qtrtd1											
Cdc42ep2	0.9877794036875457		0.9999999999919756	0.999994029055252		0.8999927221221764	1.0		0.4089393333236958	0.9999999999979874	
Alox5ap	0.9870091968818796	0.8518792468130831		1.0	1.0	0.7262359445114482	0.5382989448978392	0.6074997712628081	1.0	1.0	0.7790298918038944
Bphl											
